01Sorszám,01Sorszám_RMNY,01Sorszám_RMNY-S,externalData,hypothetic,appendix,03Cím,01xIdö,01xHely,06xNyomda,06Nyomda,07Kolláció,08Terjedelem,09Formátum,10Könyvdísz,11Forrás,12Tárgy,14Facsimile,16Nyelv,13Lelöhely,13Lelöhely_count,cities,15Olim,15Olim_count,olimCities,08xTerjedelem,09xFormátum2,oldal_per_iv,ivszam
2636,2636,,,,,"LINDA, Lucas de: Orbis lumen et Atlantis ivga tecta retecta, das ist newe außführliche Entdeck- und Beschreibung der gantzen Welt, aller darinn enthaltener Keyserthumb, Königreichen, Fürstenthumben, Provincien, Länder und Republicquen etc. deren Inwohner Sitten, Religion, Vermögens, Macht und Reichthumbs ... auß unverwerffl ichen Gründen und Zeugnüssen verschiedener glaubhaffter Authorum mit höchstem Fleiß zusammengetragen. Franckfurt am Mayn MDCLVI bey Wilhelm Serlin und Georg Fickwirthen.",1656,Frankfurt am Main (Franckfurt am Mayn) D,"Seriin, Wilhelm",,")(4 )( )(2, A8-Z8, Aa8-Jj8 Kk3+1, a8-z8, aa8-rr8 ss2 tt8","[12] + 1-517, 801-1450 + [10] pag.",8°,"Tit. calcographicus, orn., init.",VD17 39:128963M,Magyar szöveget is tartalmazó földrajzkönyv.,,idegen nyelv; latin; magyar; német,Budapest Nat cop. (partim) - Dresden Nat 1 - Gotha Univ 1 - Halle Univ 1 - München Nat 1 - Weimar 1 - Wolfenbüttel 1,6,"Dresden=1, Gotha=1, Halle=1, München=1, Weimar=1, Wolfenbüttel=1",,0,,1187,8,16,74.1875
2637,2637,,,,,"(ARTICULI vniversorvm dominorvm regnicolarvm trivm nationum Regni Tansylvaniae [!] et partium Hnngariae [!] eidem annexarum, in generalibus eorum comitiis Albae Juliae ad diem vigesimum mensis Februarii anni Domini millesimi sexcentesimi quinquagesimi sexti indictis celebratis conclusi.) [Gyulafehérvár] (1656) [typ. principis.]",1656,Gyulafehérvár,typ. principis,,A2 B2 C3,[7] fol.,2°,Init.,MKsz 1916: 93 - Dézsi 85,Erdélyi országgyûlési törvénycikkek magyar nyelven.,,magyar,Budapest Arch 1 3 - Budapest Nat cop. (partim. Debrecen Ref) - Budapest Univ 1 - Debrecen Ref 1,4,"Budapest=3, Debrecen=1",,0,,14,2,4,3.5
2638,2638,,,,,"[BASIRE, Isaac:] Trivmviratvs, sive Calvinus, Beza et Zanchius pro episcopatu: in gratiam atque coníirmationem fratrum pacificorum orthodoxorum sub isto regimine ubicunq(ue) hactenus pie ac pacifice constitutorum. Albae-Juliae 1656. (publica authoritate) excudebat Martinus Major typographus [typ. principis].",1656,Gyulafehérvár,typ. principis,,[ ]1 A4 [ ]1,[2] + 9 [recte 7] + [2] pag.,4°,,RMK II 851,Református vitairat.,,latin,Budapest Nat cop. (Esztergom) - Esztergom Simor 1 - Sibiu Mus 1*,2,"Esztergom=1, Sibiu=1",M.-Vásárhelyen a gr. Teleki-család levéltárában XXIV. czim 3287. sz. a. (2 utolsó levele hij.),1,Marosvásárhely,11,4,8,1.375
2639,2639,,,,,"PRO VNITATE verae ecclesiae simul ac pace publica conservanda decas thesium, proponenda atque defendenda in sancta synodo generali Transylvaniensi, celebranda Deo pacis auxiliante ad dies ... mensis... publica authoritate: Albae-Juliae 1656 [typ. principis] Martinus Major typographus.",1656,Gyulafehérvár,typ. principis,,"a4, [ ]1",9 pag.,4°,,RMK II 849,Protestáns lelkészi vizsgatételek.,,,Budapest Nat cop. - Sibiu Mus 1,1,Sibiu=1,Maros-Vásárhelyen a gr. Teleki család levéltárában - Szathmári ref. gymn.,2,"Marosvásárhely, Szatmár",9,4,8,1.125
2640,2640,,,,,"PRO UNITATE verae ecclesiae simul ac pace reipublicae conservanda decas thesium, antea proposita atq(ue) etia(m) defensa in sancta synodo generali Transylvaniensi, celebrata apud Maros-Vásárhelinum, diebus XXV. XXVI. et XXVII. mensis Junii, jam vero Deo pacis juvante repetenda in alma universitate Albensi diebus XIV. et XV. mensis Julii, ad ampliorem veritatis evictionem (si no(n) pleniorem contradicentium convictionem), speciatim ad corroborandam ecclesiarum per universam Transylvaniam catholicoreformatarum sanctam unionem. Publica authoritate: Albae-Iuliae 1656 [typ. principis] Martinus Major typographus.",1656,Gyulafehérvár,typ. principis,,"[ ]1, a4, [ ]1",[1] + 9 pag.,4°,,RMK II 850,Református teológiai (vita) tételek.,,,Budapest Nat cop. (Esztergom) - Esztergom Simor 1,1,Esztergom=1,Marosvásárhelyen a gr. Teleki család levéltárában *,1,Marosvásárhely,10,4,8,1.25
2641,2641,,,,,"[1] SCUTULU catichizmuºului cu rãspunsu den scrãptura sv-tã. Inpotriva rãspunsului adoao þãri, fãrâ scripturâ sv-ta - [2] (Cuprinsãtura ºi pãrþile învãþãturiei de spre credinþa creºtiniascâ, cu intrebãri, ºi cu rãspunsuri den scriptura sfntã) - [3] (Cinulu ºi învãþãturâ pre scurtu de sfntel (sic) taine, cu care trãescu crestiinii în beséreci sã sâ ºtie cumu voru trãi cu ele bine dupâ scriptura sfntâ, cumu de spre botezu, de spre cina domnului ºi de spre sfnta cãsãtorie, ºi de spre despãrþeniile cu ocã diréptâ ºi de alte lucruri carele-su de lipsâ creºtiniloru.) (Belgrad 1656 [typ principis].",1656,Gyulafehérvár,typ. principis,,?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?6 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?8 ?7,[189] fol.,8°,Orn.,Sztripszky II 2568/116 - Veress 64 - BRV I 64 - BRV IV 201,"Református vitairat, katekizmus és agenda román nyelven.",,román,Bucuresti Acad 1 2 - Budapest Nat cop.,2,Bucuresti=2,"Blaj, Moldovan I. M. - Sibiu Astra",2,"Blaj, Sibiu",378,8,16,23.625
2642,2642,,,,,"WOLLEB, Joannes: Compendium theoiogiae Christianae, accurata methodo sic adornatum, ut sít ad Ss. Scripturas legendas, ad locos communes digerendos, ad controversias intelligendas manuductio, authore Johanne Wollebio, ss. th. d. et in acad. Basil. profess. ord. Editio nova, prioribus correctior. Albae Juliae 1656 [typ. principis] Martinvs Maior.",1656,Gyulafehérvár,typ. principis,,"A4 B8-Z8, Aa8-Ff8 Gg4",[7] + 413 [recte 424] + [32] pag.,8°,,RMK II 852,Református tanítás,,latin,Budapest Nat 1 - Zagon Ref 1,2,"Budapest=1, Zagon=1",Erd. ev. egyházker.,1,Kolozsvár,463,8,16,28.9375
2642A,2642,A,,,,"FAUT Márk: Discursus juridicus de heredibus, quem ... dn. Bernhardo Seniore, duce Saxoniae, ... rectore ... in ... Academia Jenensi ... praeside ... dn. Ernesto Friderico Schrötero, j.u.d. ... publice et piacidé ventilandum proponit Marcus Fautor Sempronio-PannUnivs aut. et resp. .. XVI. Kalend. Januarii. (Jena MDCLXVI) Christophorus Küchenius.",1656,Jena,"Küche, Christoph",,A4-E4,[20] fol.,4°,"Orn., init.",RMK II1 1967 - VD17 547:626899Y,Magyar nyelvû verset is tartalmazó jogi értekezés,,idegen nyelv; latin; magyar; német,Budapest Nat 2* - Gotha Univ 1 - Frankfurt 1 - Halle Univ 1 - Göttingen Univ 1 - Wolfenbüttel 1,6,"Budapest=1, Gotha=1, Frankfurt=1, Halle=1, Göttingen=1, Wolfenbüttel=1",,0,,40,4,8,5
2643,2643,,,1,,<Kalendárium és prognosztikon az 1657. esztendõre. Kassa 1656 Gevers.>,1656,Kassa,"Gevers, Valentin",,,,,,,,,magyar,,0,,,0,,,,,
2644,2644,,,,,"[1] [ALMANACH auf das Jahr 1657.] - [2] (Astrologisches Bedencken auff das Jahr nach der heilsamen Geburt Jesu Christi 1657, darin(n)en was nechst göttlicher Allmacht an d’ Witterung ins gemein, an Krieg vnd Fried, an Kranckheit vnd Gesundheit, an Zu- vnd Mißwachs vnd andern dergleichen natürlichen Zufällen guttes böses zugewarten sol, angedeutet vnd erkläret werden von Christophoro Neubarthio Bolesla-Siles., Dienern am Worte Gottes vn(d) Pfarrn zur Holtzkirche in Ober-Lausitz. [Leutschau 1656 Brewer.]",1656,Lőcse,"Brewer, Lorenz",,A8-E8,[40] fol.,16°,Color.,Sztripszky II 2572/120 <- MKsz 1906: 133 - Caplovic 1027,Új-naptár ó-naptárral és prognosztikon.,,német,Budapest Acad cop. - Levoča Ev 2,1,Levoča=1,,0,,80,16,32,2.5
2645,2645,,,,,"[BÖHME, Martin:] Lovak orvossagos meg-probált új könyvetskéje, mellyben sok fele gyakorlott dolgok és orvosságok vadnak, kik Török, Magyar, Belgiom és egynehány Német országi fö fejedelmek és nagyságos urak udvariban az lovaknak minden-féle betegségekröl való orvosságok meg-probáltatván, öszve szedegettetett, le irattatott a’ Brandenburgi hertzeg és fejedelem fö lovász mestere, Tseh Marton által. Melly németböl magyarrá fordittatott. Lötsen 1656 [Brewer].",1656,Lőcse,"Brewer, Lorenz",,"A8-H8, [ ]2, I8",[72] fol. + [1] tab.,8°,"3 ill., init.","RMK I 908 - Kossa Gyula: Magyar állatorvosi könyvészet 1472-1904. Bp. 1904, 23-28 (a címlap reprodukciójával) - MKsz 1929: 221 - Caplovic 1019",Állatorvosi mû.,,,Budapest Acad 2* (A-variáns) - Budapest Nat 2* (A-variáns) 2* (B-variáns),3,Budapest=3,,0,,146,8,16,9.125
2646,2646,,,,,"[1] CICERO, Marcus Tullius: M. T. Ciceronis Epistolarum libri quatuor a Johanne Sturmio, ... puerili educationi confecti cum doctorum virorum argumentis et annotationibus quibusdam. Adjectus est ubique ad singulas epistolas geminus numerus: quorum prior librorum, posterior vero epistolarum cujusque libri ordinem observat. - [2] (Erasmus D[esiderius] Roterodamus: De ratione studii epistola paraenetica ... Christiano Lubecensi.) Leutschoviae MDCLVI typis Laurentii Breveri.",1656,Lőcse,"Brewer, Lorenz",,A8-H8 I7+1,[71] fol.,8°,Orn.,Borda antikvárium 5. sz. ajánlójegyzék. Hungarica 1468-1711. Bp. (1985) 2119. tétel,Levélgyûjtemény és pedagógiai értekezés.,,latin,Budapest Nat 1,1,Budapest=1,,0,,142,8,16,8.875
2647,2647,,,,,"DIETERICH, Konrad: Epitome catecheticorum praeceptorum in usum classium inferiorum collecta Institutionibus catecheticis Cunradi Dieterici, ss. theologiae doctoris, ecclesiarum Ulmensium superintendentis. Kurtzer Auszug dero Catechismus Lehrstuck. Für die Schuljugend in den vntern Classen aus dem grössern Werck der Institution oder Catechismus Vnterweisunge[n] Cunrad Dieterichs, der H. Schrift Doctorn, Vlmischer Kirchen Superintendenten zusammen gezogen. Leutschoviae 1656 typis Laur[entii] Brev[er].",1656,Lőcse,"Brewer, Lorenz",,A8-Q8 R8,269 + [2] pag.,8°,Orn.,MKsz 1963:119 - Caplovic 1020,Evangélikus katekizmus latin-német nyelven.,,latin; német,Brasov Arch 1 - Budapest Acad cop. (Martin) - Martin Nat 2*,2,"Brasov=1, Martin=1",,0,,271,8,16,16.9375
2648,2648,,,,,"[1] HABERMANN, Johann: Modlitby køestianské za wsseliké potøeby každého cžlowìka gakého koli powolanj k každému dni celého týhodne: rannj y weèernj z Pjsma Swatého sebrané a wydané od doktora Jana Habermana ze Hbu. - [2] (Katechysmus doktora Martina Luthera). W Lewoèi 1656 v Wawøince Brewera.",1656,Lőcse,"Brewer, Lorenz",,A-Valternatim 8-10 W8 X10,[2] + 305 [recte 306] + [8]; [2] + 77 + [1] pag.,18°,,Sztripszky 11 2569/117 <- MKsz 1890: 259-260 Knihopis 2828 - Caplovic 1021,Evangélikus imádságoskönyv és katekizmus biblikus cseh nyelven.,,biblikus cseh,Budapest Acad 1 - Liptovský Mikuláš Ev 3,2,"Budapest=1, Liptovský Mikuláš=1",,0,,396,18,36,11
2649,2649,,,,,(HUNYADI Ferenc): História az regi hires neves Troia varosának tiz esztendeig való meg-szállásáról és rettenetes veszedelmérõl. L[õcse 1656 Brewer],1656,Lőcse,"Brewer, Lorenz",,A4-D4,[16] fol.,4°,"1 ill., orn.",RMK I 909 - Caplovic 1022,Krónikás ének.,,,Budapest Nat 4 + cop. (Cluj-Napoca Univ) - Cluj-Napoca Univ 2*,2,"Budapest=1, Cluj-Napoca=1",,0,,32,4,8,4
2650,2650,,,,,"KREUCHEL, Elias: Dissertatio de tradvce animae rationalis, (nimirum, quod hodie post Hexaëmeron nostrae animae non a solo Deo immediate creantur, sed a parentibus propagantur) deprompta ex Sacrarum Litterarum tabulis a m. Elia Krevchelio, lycei Novizoliensis moderatore. Leutschoviae 1656 sumptibus autoris ... apud Laurentium Breverum.",1656,Lőcse,"Brewer, Lorenz",,A4-E4,[20] fol.,4°,"Orn., init.",RMK II 854 - Caplovic 1024,Evangélikus teológiai vizsgaértekezés.,,,Bratislava Comit 1 - Budapest Nat 2* - Budapest Univ 1 - Kezmarok Ev 0,4,"Bratislava=1, Budapest=2, Kezmarok=1",Akad (Budapest),1,Budapest,40,4,8,5
2651,2651,,,,,"KREUCHEL, Elias: Elenchus argvmentorvm, quae ex libro naturae a traducis hostibus depromi et solent et valent, elaboratus a m. Elia Kreuchelio Argentina Alsato, p. t. Palladij Novizol. moderatore, quem ... tuendum suscepit ... anno 1656 (31.) Octobris Andreas Thann Georgiomontanus. [Leutschoviae] (1656) [Brewer].",1656,Lőcse,"Brewer, Lorenz",,A4 B4,[8] fol.,4°,,RMK II 855 - Caplovic 1025,Evangélikus teológiai vizsgatételek.,,,Budapest Acad 1 - Budapest Nat 1 2* - Budapest Univ 1 - Spišská Nová Ves Ev 1,5,"Budapest=4, Spišská Nová Ves=1",Ráth György,1,Budapest,16,4,8,2
2652,2652,,,,,"NUPTIIS viri, qua genus ... Johannis Kroneri scholae patriae conrectoris ... cum ... Maria Horvathia matrimUnivm ineunti, ritu Leutschoviae solenni anno ... MDCLVI. XI. Cal(endae) Decemb(ris) voto unanimi d. d. amici. Leutschoviae (1656) Typis Laurentii Breveri.",1656,Lőcse,"Brewer, Lorenz",,A4,[4] fol.,,"Orn., init.",RMK II 856 - Caplovic 1029,Lakodalmi versek latinul és németül.,,latin; német,Budapest Nat 1,1,Budapest=1,,0,,,,,
2653,2653,,,,,"OROSZHEGYI Mihály: Az fenyö-fanak hasznos voltáról, es az sendely tsinálóknak kellemetes és hasznos munkájokról-való história, melly szereztetett és mostan ki-botsáttatott Oroszhegyi Mihály deák által, an. 1655 [Lõcse] (1656) [Brewer].",1656,Lőcse,"Brewer, Lorenz",,A4 B2,[6] fol.,4°,Init.,RMK I 910 - Caplovic 1030,Versek a fenyõfa és a zsindelykészítõ mesterség dicséretérõl.,,magyar,Budapest Nat cop. (Cluj-Napoca) - Cluj-Napoca Univ 1 3* - Praha Nat 1,3,"Cluj-Napoca=2, Praha=1",,0,,12,4,8,1.5
2654,2654,,,,,"[1] UJ és o kalendariom Christus urunk születése után való 1657. esztendöre, mellyet mostan Magyar és Erdély országra nagy fi gyelmetesseggel alkalmaztatott Neubarth Christoph theologus és astrologus. - [2] (Astrologiai visgálás Christus urunk születése után való 1657. esztend., mellyben az hadról és békesegröl, betegsegröl és egéssegröl, termésröl és terméketlensegröl és egyéb természet-szerint valo esetekröl, mellyekböl kell jot vagy gonosztvár várnunk [!], rövideden le jedzettettek Neubarth Christoph Siles. Bolesl. prédikátor és astronomus által.) Lötsén [1656] Brever Lörintz által.",1656,Lőcse,"Brewer, Lorenz",,A8-E8,[40] fol.,16°,Color.,MKsz 1930: 137 - Caplovic 1028,Uj-naptár ó-naptárral és prognosztikon.,,magyar,Budapest Nat 1,1,Budapest=1,,0,,80,16,32,2.5
2655,2655,,,,,"[ZABELER, Hiob:] Justa funebria ultimo honori matronae eximiae Agnetis Seisiae, a pietate, pudica morum antiquitate, curandae rei familiaris sedulitate liberis relictis desideratissimae solv. m. J. Z. a. e. L. Leutschoviae 1656 typis Laurentii Breveri.",1656,Lőcse,"Brewer, Lorenz",,*4,[4] fol.,4°,Orn.,RMK II 853 - Caplovic 1031,Gyászversek latin és német nyelven.,,latin; német,Budapest Nat 1,1,Budapest=1,,0,,8,4,8,1
2656,2656,,,,,"FLORES piarvm et devotarvm precum ex variis avthoribvs selectarum. Tyrnaviae 1656 typis Academicis, Melchior Venceslaus Schneckenhaus.",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,"a12, A12-Q12 R11 + 1",[24] + 403 + [3] pag.,12°,"Mult. ill., orn.",,Katolikus imádságoskönyv.,,latin,Budapest Nat cop. - Praha OFM 1,1,Praha=1,,0,,430,12,24,17.916666666666668
2657,2657,,,,,"LIPPAY GYÖRGY: Georgivs Lippay... archiepiscopvs Strigoniensis... prímás Regni Ungariae, svmmvs secretarivs, cancellarivs ac sacrae caesareae regiaeqve maiestatis consiliarivs intimvs. Universis Christi fidelibus salutem in Domino sempiternam. Tyrnaviae (1656) typis Academicis, Melchior Vencesiaus Schneckenhaus.",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,,[1] fol.,720 x 400 mm,Init.,Caplovic 1973a,Búcsút hirdetõ körlevél utánnyomata.,,latin,Budapest Arch 1 - Budapest Nat cop.,1,Budapest=1,,0,,2,1,1,2
2658,2658,,,,,"MAKAR, Andreas: Orientis messis lavreata, sive Apollonivs, Philoemon et Arianvs martyres lavreati, quos ... artium et philqsophiae magistris in ... Academia Tyrnaviensi per ... Andream Makar. ... professorem ordinarium lavreatis nobiles ... facultatis rhetoricae alvmni in eorundem supremi honoris theatro publice exhibuerunt anno regni altero Leopoldi primi regis Pannoniae. Tyrnaviae (MDCLVI) typis Academicis, excudebat Melchior Schneckenhaus.",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,A8-E8 F4,90 [recte 88] pag.,8°,Orn.,RMK II 857 - Caplovic 1974 - Staud I 105,Iskoladráma és szereDosztás.,,,Budapest Acad 1 (B-variáns) - Budapest Univ 1 (A-variáns) - Debrecen Univ 2* (A-variáns),3,"Budapest=2, Debrecen=1",,0,,88,8,16,5.5
2659,2659,,,,,"MAKAR, Andreas: Philosophia, a spectabih ac magniíico domino, Adamo JHieshazy de JHieshaza, art. et phii. baccaiaure. in... vniversitate Tyrnaviensi pubtice propugnata pro supr. in phii. iaurea anno 1656. mensis Iuiij die (...) praeside ... Andrea Makar Soc. J., art. et philos. doctore et professore ordinario, ejusdemq(ue) facultatis p. t. seniore. (Tyrnaviae MDCLVI typis Academicis, Melchior Venceslaus Schneckenhaus).",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,"[ ]1, A2-C2 D1",[8] fol.,2°,"Tit. calcographicus, init.",RMK II 858 - Caplovic 1975,Katolikus filozófiai vizsgatételek.,,,Budapest Nat 1,1,Budapest=1,,0,,16,2,4,4
2660,2660,,,,,"[1] RITUALE Strigoniense, seu formvla agendorvm in administratione sacramentorum ac ceteris ecciesiae publicis functionibus. Primum quidem jussu et authoritate ... qvondam cardinalis Petri Pázmány archiepiscopi Strigoniensis, (denuo ... principis Georgii Lippay de Zombor, archiepiscopi Strigoniensis, Sedis Apostol, legati nati, primatis Vngariae, etc. editum). - [2] (SYNODI provincialis decreta, anno MDCXI Tyrnaviae celebratae per ... Franciscvm Forgach de Ghymes ... Rituali Strigoniensi annexa jussu et authoritate ... Georgii Lippay...) (Tyrnaviae MDCLVI Melchior Wenceslaus Schneckenhaus.)",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,")(4, A4-Z4, Aa4-Nn4 Oo6; A4-C4 D2",[8] + 299; 27 pag.,4°,"1 ins., 1 ill., init., orn. color.",RMK II 859 - Knihopis 14.851a - Caplovic 1976,Katolikus szertartáskönyv és zsinati határozatok.,,latin,"In 20 bibliothecis 23 expl. - Bamberg Priest - Bratislava Univ - Budapest Acad, Nat, Univ - Esztergom Simor - London BL - Martin Nat - Pécs Univ - Wien Univ",23,"Bamberg=1, Bratislava=1, Budapest=3, Esztergom=1, London=1, Martin=1, Pécs=1, Wien=1",,0,,334,4,8,41.75
2661,2661,,,,,"[1] SODALITAS Visitationis Beatissimae Virginis Máriáé in academico Societatis Jesu collegio Tyrnaviae erecta, et conhrmata. - [2] (Catalogus defunctorum e Tyrnaviensi B. M. V. Visitantis Sodalitate). (Tyrnaviae 1656) [typ. Academicis].",1656,Nagyszombat,typ. Academicis (typographia Universitatis),,,[1] fol.,236 x 134 mm,"Orn., init.",MKsz 2007: 192,Katolikus vallási társulat meghívólevele és halottairó! szóló értesítõ.,,latin,Budapest Nat cop. - Esztergom Arch 1,1,Esztergom=1,,0,,2,5,9,0.2222222222222222
